Country,Happiness_rank,Happiness_score,GDP_per_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption,Year,id,gdp_norm,social_norm,life_norm,free_norm,gen_norm,corruption_norm,Country_bias
Mozambique,120,4.6236,7.0693,0.7239,54.2058,0.8645,0.0324,0.683,2020,508,2.095,-0.3,3.908,0.831,-0.82,2.033,-8.288
Mozambique,123,4.466,0.204,0.986,0.39,0.494,0.197,0.138,2019,508,-0.911,-0.047,-0.965,0.046,0.096,-0.387,8.079
Mozambique,123,4.417,0.198,0.902,0.173,0.531,0.206,0.158,2018,508,-0.913,-0.128,-0.984,0.125,0.146,-0.298,7.837
Mozambique,94,4.971,0.0831,1.0263,0.0913,0.3404,0.2227,0.156,2015,508,-0.964,-0.008,-0.992,-0.279,0.239,-0.307,8.823
Mozambique,113,4.55,0.2343,0.8707,0.1067,0.4808,0.3222,0.1794,2017,508,-0.897,-0.158,-0.99,0.018,0.792,-0.203,6.947
Kenya,121,4.583,8.0298,0.7027,60.0969,0.8297,0.2947,0.8315,2020,404,2.516,-0.321,4.441,0.757,0.639,2.693,-13.292
Kenya,121,4.509,0.512,0.983,0.581,0.431,0.372,0.053,2019,404,-0.776,-0.05,-0.947,-0.087,1.069,-0.765,7.102
Kenya,124,4.41,0.493,1.048,0.454,0.504,0.352,0.055,2018,404,-0.784,0.013,-0.959,0.068,0.958,-0.756,6.843
Kenya,125,4.419,0.3647,0.9988,0.4144,0.4222,0.3754,0.0584,2015,404,-0.84,-0.034,-0.962,-0.106,1.088,-0.741,7.077
Kenya,122,4.356,0.5227,0.7624,0.3015,0.4058,0.4133,0.0669,2016,404,-0.771,-0.263,-0.973,-0.14,1.299,-0.703,6.941
Kenya,112,4.553,0.5605,1.068,0.31,0.4528,0.4449,0.0646,2017,404,-0.755,0.032,-0.972,-0.041,1.475,-0.713,6.176
Namibia,122,4.5711,9.2031,0.8469,56.5015,0.7675,-0.1853,0.8514,2020,516,3.029,-0.181,4.116,0.626,-2.031,2.781,-9.329
Namibia,113,4.639,0.879,1.313,0.477,0.401,0.07,0.056,2019,516,-0.615,0.269,-0.957,-0.151,-0.611,-0.751,9.332
Namibia,119,4.441,0.874,1.281,0.365,0.519,0.051,0.064,2018,516,-0.617,0.238,-0.967,0.099,-0.716,-0.716,8.906
Namibia,113,4.574,0.9329,0.7036,0.3474,0.4861,0.078,0.104,2016,516,-0.592,-0.32,-0.969,0.03,-0.566,-0.538,9.499
Namibia,111,4.574,0.9644,1.0985,0.3386,0.5203,0.0771,0.0931,2017,516,-0.578,0.062,-0.969,0.102,-0.571,-0.587,8.809
Ukraine,123,4.5607,9.0107,0.8789,64.6068,0.6631,-0.0309,0.9206,2020,804,2.945,-0.15,4.85,0.404,-1.172,3.089,-12.049
Ukraine,133,4.332,0.82,1.39,0.739,0.178,0.187,0.01,2019,804,-0.641,0.344,-0.933,-0.623,0.04,-0.956,8.947
Ukraine,138,4.103,0.793,1.413,0.609,0.163,0.187,0.011,2018,804,-0.653,0.366,-0.945,-0.655,0.04,-0.951,8.766
